Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0891,0.1612,0.0003
1,0.0893,0.1342,0.0020
1,0.0911,0.1474,0.0014
1,0.0897,0.1328,0.0085
1,0.0891,0.1328,0.0122
1,0.0889,0.1328,0.0120
1,0.0846,0.1328,0.0165
1,0.0844,0.1328,0.0246
1,0.0829,0.1328,0.0244
1,0.0835,0.1328,0.0253
1,0.0867,0.1328,0.0247
1,0.0941,0.1328,0.0360
1,0.1172,0.1328,0.0371
1,0.1174,0.1328,0.0376
1,0.1151,0.1328,0.0416
1,0.1162,0.1322,0.0380
1,0.1166,0.1322,0.0249
1,0.1196,0.1322,0.0215
1,0.1186,0.1322,0.0183
1,0.1216,0.1322,0.0161
1,0.1215,0.1322,0.0162
1,0.1235,0.1322,0.0141
1,0.1260,0.1251,0.0220
1,0.1223,0.1251,0.0220
1,0.1229,0.1018,0.0225
1,0.1222,0.0994,0.0298
1,0.1216,0.0994,0.0299
1,0.1201,0.0380,0.0302
1,0.1221,0.0380,0.0277
1,0.1214,0.0380,0.0326
1,0.1202,0.0380,0.0297
1,0.0887,0.0380,0.0290
1,0.0897,0.0427,0.0369
1,0.0923,0.0471,0.0362
1,0.0923,0.0471,0.0397
1,0.0890,0.1046,0.0442
1,0.0890,0.1046,0.0443
1,0.0857,0.1178,0.0440
1,0.0843,0.1289,0.0453
1,0.0852,0.1289,0.0519
1,0.0938,0.1289,0.0505
1,0.0942,0.1289,0.0541
1,0.1111,0.1289,0.0605
1,0.1111,0.1289,0.0654
1,0.1293,0.1289,0.0645
1,0.1315,0.1289,0.0651
1,0.1224,0.1289,0.0642
1,0.1245,0.1289,0.0693
1,0.1254,0.1289,0.0726
1,0.1235,0.1289,0.0786
1,0.1221,0.1289,0.0699
1,0.1229,0.1289,0.0677
1,0.1249,0.1289,0.0724
1,0.1230,0.1289,0.0723
1,0.1204,0.1412,0.0732
1,0.1186,0.1412,0.0706
1,0.1210,0.1412,0.0682
1,0.1205,0.1412,0.0579
1,0.1172,0.1412,0.0478
1,0.1320,0.1412,0.0416
1,0.1296,0.1412,0.0421
1,0.1327,0.1364,0.0397
1,0.1327,0.1364,0.0363
1,0.1335,0.1364,0.0350
1,0.1357,0.1364,0.0338
1,0.1294,0.1186,0.0256
1,0.1280,0.1186,0.0325
1,0.1299,0.1186,0.0237
1,0.1287,0.1186,0.0220
1,0.1288,0.1186,0.0214
1,0.1310,0.1186,0.0203
1,0.1293,0.1186,0.0200
1,0.1132,0.1048,0.0202
1,0.0917,0.1048,0.0192
1,0.0903,0.0969,0.0205
1,0.0930,0.0969,0.0257
1,0.0931,0.0969,0.0205
1,0.0920,0.0969,0.0192
1,0.0928,0.0969,0.0256
1,0.0959,0.0969,0.0245
1,0.0949,0.0969,0.0250
1,0.1033,0.0989,0.0301
1,0.1037,0.1123,0.0281
1,0.1034,0.1123,0.0278
1,0.1047,0.1134,0.0266
1,0.0866,0.1134,0.0313
1,0.0877,0.1134,0.0227
1,0.0878,0.1134,0.0217
1,0.0874,0.1134,0.0200
1,0.0892,0.1134,0.0190
1,0.0950,0.1134,0.0087
1,0.0936,0.1134,0.0080
1,0.0921,0.1134,0.0100
1,0.0890,0.1221,0.0098
1,0.0911,0.1377,0.0106
1,0.0915,0.1429,0.0115
1,0.0923,0.1429,0.0130
1,0.0929,0.1429,0.0063
1,0.0919,0.1429,0.0249
1,0.0941,0.1429,0.0294
1,0.0958,0.1454,0.0301
1,0.0979,0.1454,0.0254
1,0.0998,0.1454,0.0261
1,0.1002,0.1454,0.0204
1,0.0998,0.1651,0.0253
1,0.1018,0.1549,0.0247
1,0.0930,0.1549,0.0181
1,0.0910,0.1549,0.0225
1,0.0901,0.1395,0.0153
1,0.0927,0.1531,0.0153
1,0.0951,0.1531,0.0151
1,0.0941,0.1531,0.0115
1,0.0968,0.1531,0.0065
1,0.0968,0.1531,0.0063
1,0.0967,0.1531,0.0014
1,0.0967,0.1531,0.0036
1,0.0952,0.1389,0.0018
1,0.0952,0.1389,0.0010
1,0.0938,0.1389,0.0027
1,0.0928,0.1389,0.0037
1,0.0953,0.1340,0.0028
1,0.0941,0.1340,0.0014
1,0.0941,0.1340,0.0016
1,0.0918,0.1340,0.0000
1,0.0933,0.1340,0.0008
1,0.0940,0.1340,0.0021
1,0.0940,0.1340,0.0027
1,0.0927,0.1198,0.0020
1,0.0942,0.1198,0.0023
1,0.0947,0.1198,0.0070
1,0.0970,0.1198,0.0095
1,0.1005,0.1111,0.0116
1,0.1001,0.1207,0.0108
1,0.0995,0.1207,0.0070
1,0.1003,0.1207,0.0004
1,0.0980,0.1207,0.0059
1,0.0970,0.1207,0.0136
1,0.0959,0.1207,0.0111
1,0.0977,0.1207,0.0090
1,0.0977,0.1207,0.0107
1,0.0835,0.1207,0.0087
1,0.0860,0.1207,0.0045
1,0.0846,0.1333,0.0050
1,0.0849,0.1451,0.0067
1,0.0869,0.1319,0.0063
1,0.0783,0.1319,0.0021
1,0.0775,0.1319,0.0013
1,0.0778,0.1430,0.0003
1,0.0794,0.1430,0.0021
1,0.0784,0.1430,0.0019
1,0.0783,0.1307,0.0034
1,0.0775,0.1307,0.0027
1,0.0815,0.1307,0.0071
1,0.0797,0.1307,0.0063
1,0.0784,0.1307,0.0057
1,0.0748,0.1469,0.0088
1,0.0773,0.1427,0.0075
1,0.0795,0.1484,0.0090
1,0.0776,0.1564,0.0079
1,0.0770,0.1564,0.0105
1,0.0789,0.1641,0.0089
1,0.0781,0.1734,0.0209
1,0.0787,0.1734,0.0212
1,0.0762,0.1734,0.0243
1,0.0555,0.1766,0.0240
1,0.0533,0.1766,0.0169
